Time,Speed/X,Speed/Y,Speed/Z,Brake pedal force,Gas pedal,Banking,Banking Angle,Gradient,Gradient Angle,Calculated lateral acceleration,Steering wheel speed,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Yaw %ground,Yaw acceleration,Yaw speed,anger score
153.9,37.2197,-0.0534611,0.0272623,0,0.0971564,0.0200044,1.14602,-0.0050181,-0.287513,0.0111865,0,0.0403878,-0.311061,-0.00117523,0.0815293,1.04464,-0.00153215,57.6009,0.0754154,0.0619937,5
153.95,37.2157,-0.0535893,0.0272604,0,0.0947867,0.020002,1.14588,-0.00501703,-0.287452,0.010901,0,0.0404008,0.0866339,0.000473129,0.0815685,0.0647782,-0.00236406,57.6039,0.089999,0.0604177,5
154,37.2118,-0.0535845,0.0272824,0,0.0971564,0.0200233,1.1471,-0.00501618,-0.287404,0.0109832,6,0.0404899,-0.0814144,-0.000371085,0.0803259,-0.0735039,-0.000283002,57.607,-0.219935,0.0608798,5
154.05,37.2082,-0.053527,0.0273055,0,0.0971564,0.0199948,1.14546,-0.0050151,-0.287342,0.0112553,0,0.0404747,-0.0381954,-0.00217047,0.0820052,-0.151586,-0.000186065,57.6101,-0.0757451,0.0623938,5
154.1,37.2047,-0.0536394,0.0272608,0,0.0971564,0.0200029,1.14593,-0.00501424,-0.287292,0.0109665,-6,0.0404225,0.0262409,-0.00187366,0.0815053,-0.0674517,-0.0025707,57.6132,0.0534475,0.0607991,5
154.15,37.2011,-0.053836,0.0272618,0,0.0971564,0.0199574,1.14333,-0.00501321,-0.287233,0.0102563,-6,0.0403822,-0.126089,-0.00211335,0.0839039,-0.0122249,-0.00476098,57.6161,0.296194,0.056867,5
154.2,37.1975,-0.0543492,0.0272404,0,0.0971564,0.0200033,1.14595,-0.00501383,-0.287269,0.00868253,6,0.0402281,-0.052462,-0.00273244,0.0808714,-0.0809513,-0.00983826,57.6187,-0.353975,0.0481457,5
154.25,37.1939,-0.0548802,0.0272152,0,0.0971564,0.0199164,1.14098,-0.00501414,-0.287287,0.0071571,0,0.040053,0.0528282,-0.00331111,0.0852886,-0.872503,-0.012592,57.6209,-0.773448,0.0396909,5
154.3,37.1903,-0.0553541,0.0271516,0,0.0971564,0.0200036,1.14597,-0.00501438,-0.2873,0.00577583,-6,0.0398565,-0.0254631,-0.00374385,0.0796289,-0.187762,-0.013022,57.6227,-0.230782,0.0320339,5
154.35,37.1868,-0.0560177,0.0270606,0,0.0971564,0.0198839,1.13911,-0.005015,-0.287336,0.00391192,0,0.039629,0.053512,-0.00382542,0.0857368,-0.174254,-0.0153076,57.624,-0.630558,0.0216983,5
154.4,37.1836,-0.0565149,0.0269409,0,0.0995261,0.0200284,1.14739,-0.00501532,-0.287354,0.0025314,0,0.0393751,-0.089638,-0.00633804,0.0766997,-0.215736,-0.0141375,57.6248,-0.550245,0.0140421,5
154.45,37.1808,-0.0569128,0.0267101,0,0.0995261,0.0200038,1.14598,-0.00501511,-0.287342,0.00137282,0,0.0390211,0.13603,-0.00758732,0.0774026,-0.0936275,-0.0116644,57.6253,-0.358129,0.00761586,5
154.5,37.1779,-0.0572326,0.0264674,0,0.0995261,0.0200674,1.14963,-0.00501499,-0.287335,0.000670231,0,0.0386807,0.0193727,-0.00624019,0.07319,0.0881941,-0.0108294,57.6256,-0.133011,0.00371847,5
154.55,37.1752,-0.05736,0.026244,0,0.101896,0.020004,1.14599,-0.0050149,-0.28733,0.000499507,0,0.0383914,-0.0170598,-0.0059178,0.0764834,0.0344068,-0.00495618,57.6258,-0.0246653,0.00277149,5
154.6,37.1726,-0.057343,0.0260373,0,0.106635,0.0201069,1.15189,-0.00501438,-0.287301,0.000834173,0,0.0381209,-0.0239183,-0.00646332,0.0705033,0.112946,0.000457233,57.626,0.00943021,0.0046287,5
154.65,37.1701,-0.056793,0.0257768,0,0.106635,0.0200043,1.14601,-0.00501246,-0.28719,0.00270124,0,0.037884,-0.0534312,-0.00738477,0.0767759,0.266628,0.01392,57.6265,0.24633,0.0149897,5
154.7,37.168,-0.0565595,0.025524,0,0.109005,0.020004,1.14599,-0.0050124,-0.287187,0.00384868,6,0.0374848,-0.038359,-0.00886992,0.0775186,0.010267,0.0143143,57.6274,-0.252577,0.0213584,5
154.75,37.166,-0.0559874,0.0252054,0,0.109005,0.0200068,1.14615,-0.00501042,-0.287074,0.00563009,0,0.0371198,-0.134057,-0.0101793,0.0782588,0.566855,0.0189294,57.6287,0.406623,0.031246,5
154.8,37.1643,-0.0555427,0.0248956,0,0.109005,0.0200043,1.14601,-0.00500984,-0.28704,0.00703869,0,0.03661,0.0323212,-0.0114347,0.0793705,0.171389,0.0155764,57.6306,-0.226625,0.0390652,5
154.85,37.1629,-0.05548,0.0245116,0,0.109005,0.020015,1.14662,-0.0050094,-0.287015,0.00698761,6,0.0360574,0.16146,-0.0115068,0.0793999,-0.239462,0.00640494,57.6326,0.0150666,0.0387833,5
154.9,37.1616,-0.0550198,0.024146,0,0.109005,0.0200019,1.14587,-0.00500803,-0.286937,0.00784434,0,0.0355663,0.112317,-0.0112602,0.0805417,-0.184436,0.00667627,57.6347,0.21879,0.0435399,5
154.95,37.1605,-0.0544478,0.023779,0,0.109005,0.0200049,1.14605,-0.00500569,-0.286803,0.0090469,0,0.0351507,0.0171081,-0.010731,0.080704,0.154672,0.0100632,57.637,0.230888,0.0502162,5
155,37.1595,-0.0526134,0.0234538,0,0.109005,0.0199606,1.14351,-0.00500022,-0.286489,0.0141507,-6,0.0349417,-0.17194,-0.0104031,0.0842951,0.276538,0.0350908,57.64,0.824866,0.0785477,5
155.05,37.1586,-0.0503631,0.0231889,0,0.109005,0.0200058,1.14609,-0.0049964,-0.28627,0.0212966,-6,0.0345847,-0.10961,-0.0133936,0.0840701,-0.613985,0.0515056,57.645,0.338321,0.118216,5
155.1,37.1578,-0.0495815,0.022901,0,0.111374,0.0199167,1.14099,-0.00499386,-0.286125,0.0237877,-6,0.0339366,-0.0688244,-0.0174013,0.0912375,-1.30873,0.0301919,57.6513,-0.15742,0.132046,5
155.15,37.1573,-0.0491405,0.022396,0,0.111374,0.0200069,1.14616,-0.00499139,-0.285983,0.024279,6,0.0332489,0.0832368,-0.0148531,0.0871933,-0.138817,0.0190277,57.658,-0.154793,0.134776,5
155.2,37.157,-0.0483423,0.0218706,0,0.113744,0.019882,1.13901,-0.00498791,-0.285784,0.0259563,-6,0.0328082,0.0274663,-0.0113042,0.0952853,-0.186464,0.0206221,57.6649,0.23264,0.144088,5
155.25,37.1568,-0.0480776,0.0215624,0,0.113744,0.0200358,1.14781,-0.00498564,-0.285654,0.0263348,-6,0.0323914,0.018816,-0.0107802,0.0871631,-0.194491,0.00866724,57.6722,0.125299,0.14619,5
155.3,37.1569,-0.048149,0.0212701,0,0.113744,0.0200088,1.14627,-0.00498314,-0.28551,0.0255073,0,0.0320004,0.0249534,-0.010533,0.0888152,0.151876,-0.0031757,57.6794,0.0793042,0.141595,5
155.35,37.1572,-0.0481357,0.0210325,0,0.113744,0.0200773,1.15019,-0.00498115,-0.285396,0.0248454,-6,0.0315901,0.00779443,-0.0105059,0.0844899,0.184977,-0.00686047,57.6863,0.258465,0.13792,5
155.4,37.1576,-0.0483721,0.020827,0,0.113744,0.0200101,1.14634,-0.00498032,-0.285349,0.0240512,-6,0.031104,0.057949,-0.0108061,0.0878725,-0.774729,-0.0105074,57.693,0.289553,0.13351,5
155.45,37.1582,-0.0486173,0.0206257,0,0.113744,0.0201186,1.15255,-0.0049778,-0.285204,0.02313,-6,0.030706,0.00400463,-0.0108667,0.081036,0.113469,-0.011574,57.6995,0.0952788,0.128394,5
155.5,37.1589,-0.0485455,0.0203915,0,0.113744,0.0200117,1.14643,-0.00497509,-0.285049,0.0233325,0,0.0303215,-0.0255199,-0.0106749,0.0867626,0.242068,-0.00383442,57.706,0.0584564,0.129516,5
155.55,37.1597,-0.0483282,0.0201466,0,0.113744,0.0200116,1.14643,-0.0049719,-0.284866,0.02422,0,0.0299963,0.00213716,-0.00977876,0.0867457,0.272226,0.00359266,57.7125,0.105216,0.134439,5
155.6,37.1606,-0.048209,0.0199093,0,0.113744,0.0200175,1.14676,-0.00497017,-0.284768,0.0251215,0,0.0296244,0.0286855,-0.00901121,0.0867919,-0.810642,0.00690236,57.7194,-0.400446,0.13944,5
155.65,37.1615,-0.0480518,0.0197446,0,0.113744,0.0200128,1.1465,-0.00496619,-0.284539,0.0256521,0,0.0294091,0.00663429,-0.00861165,0.0873955,0.372802,0.00868642,57.7265,0.119055,0.142382,5
155.7,37.1625,-0.0468805,0.0195559,0,0.113744,0.0200345,1.14774,-0.0049618,-0.284288,0.0291692,0,0.0292401,-0.0406236,-0.00854595,0.0871284,-0.154118,0.0259189,57.7341,0.0819144,0.161899,5
